Month,Log Ret EP,d/p,e/p,b/m,ntis,d/e,tbl,dfy,tms
193012,-0.078362609,-2.750666503,-2.760923003,0.554745413,0.120762526,0.0102565,0.0148,0.0219,0.0182
193101,0.046701365,-2.812065031,-2.840073365,0.539152002,0.108416826,0.028008334,0.0124,0.0199,0.0219
193102,0.107394383,-2.934300917,-2.980785967,0.479667963,0.099383066,0.04648505,0.0106,0.0195,0.0232
193103,-0.072814889,-2.876685141,-2.942643109,0.529125087,0.097611229,0.065957968,0.0138,0.0205,0.0194
193104,-0.102018361,-2.790157663,-2.876551202,0.603214498,0.103643845,0.086393539,0.0149,0.0232,0.0178
193105,-0.148278701,-2.657177502,-2.764937576,0.709948622,0.098989661,0.107760073,0.0088,0.0278,0.0229
193106,0.129707291,-2.802012672,-2.93237449,0.607271274,0.081699373,0.130361818,0.0055,0.03,0.0264
193107,-0.077410545,-2.739831792,-2.894020065,0.673609572,0.045485251,0.154188273,0.0041,0.0272,0.0284
193108,0.009073835,-2.764483133,-2.943717739,0.654185496,0.031111746,0.179234605,0.0042,0.0307,0.0284
193109,-0.356225641,-2.423979172,-2.629831226,0.944001656,0.056252627,0.205852054,0.0045,0.0352,0.0308
193110,0.07965638,-2.520637164,-2.754705893,0.877176108,0.024322331,0.234068728,0.017,0.0405,0.0215
193111,-0.104410441,-2.433653356,-2.697578901,0.971556408,0.041503556,0.263925545,0.0177,0.0399,0.0208
193112,-0.158967964,-2.292781093,-2.588626476,1.170731707,0.002113718,0.295845383,0.0241,0.051,0.0166
193201,-0.030798553,-2.297149954,-2.587651241,1.191378184,0.001910434,0.290501287,0.0248,0.0393,0.0142
193202,0.047439198,-2.380709658,-2.665483048,1.119842829,-0.003694659,0.28477339,0.0242,0.0364,0.0125
193203,-0.12767994,-2.290348367,-2.569061769,1.185862445,-0.006761777,0.278713402,0.0225,0.0385,0.0145
193204,-0.227150846,-2.10087019,-2.373110626,1.553727874,-0.025047137,0.272240436,0.0111,0.0529,0.0225
193205,-0.265886892,-1.873246172,-2.138512561,1.942333482,-0.028727991,0.265266389,0.0031,0.0564,0.0318
193206,-0.009272118,-1.903915028,-2.161744137,2.028478058,-0.034356957,0.257829109,0.0034,0.0559,0.0313
193207,0.319705871,-2.265099807,-2.514926542,1.612544071,-0.011323576,0.249826735,0.0022,0.0553,0.0298
193208,0.318635089,-2.626761365,-2.867908437,1.187807545,-0.000873291,0.241147073,0.0014,0.0331,0.0307
193209,-0.037673648,-2.634119048,-2.865920662,1.214365567,0.000516808,0.231801614,0.0003,0.0291,0.0316
193210,-0.149220731,-2.532034403,-2.753688012,1.403877221,-0.002990809,0.221653608,0.0001,0.0323,0.0321
193211,-0.060722758,-2.520589202,-2.731139138,1.542147294,-0.003134273,0.210549936,0.0001,0.0361,0.0321
193212,0.050572703,-2.623218266,-2.821669204,1.442084301,-0.001500741,0.198450939,0.0004,0.0383,0.0311
193301,0.007172358,-2.640499291,-2.822820848,1.426929392,-0.002907181,0.182321557,0.0007,0.0357,0.0301
193302,-0.203886216,-2.44677378,-2.612900651,1.690990465,-0.00212967,0.166126871,0.0001,0.0389,0.0324
193303,0.031901725,-2.490048049,-2.639912396,1.476534296,-0.01831785,0.149864347,0.0134,0.0423,0.0187
193304,0.351845664,-2.85263143,-2.986162823,1.119015048,0.004824112,0.133531393,0.0045,0.0434,0.028
193305,0.147017216,-3.010361584,-3.127486941,0.928384973,-0.001380075,0.117125357,0.0029,0.0311,0.0279
193306,0.12370036,-3.144702384,-3.24534591,0.833503159,0.002168754,0.100643526,0.0007,0.0261,0.0299
193307,-0.092265569,-3.063290425,-3.147373542,0.901178804,0.004929728,0.084083117,0.0019,0.0226,0.029
193308,0.108462917,-3.182572591,-3.250013872,0.798750122,0.004160156,0.067441281,0.0001,0.0247,0.0307
193309,-0.1206382,-3.072896794,-3.123611887,0.867996604,0.00189187,0.050715093,0.0004,0.0291,0.0304
193310,-0.092743704,-2.991277923,-3.025179475,0.927858439,0.00607003,0.033901552,0.0009,0.0315,0.0306
193311,0.097558968,-3.100193509,-3.117191085,0.833503159,0.008070391,0.016997576,0.0022,0.0344,0.0305
193312,0.021781275,-3.133515976,-3.133515976,0.829026046,0.012765111,0.00001,0.0029,0.0325,0.0307
193401,0.100096369,-3.232395634,-3.224711981,0.762917366,0.009283706,-0.007683654,0.0072,0.0266,0.0249
193402,-0.037912592,-3.192959915,-3.178128183,0.790643727,0.011123779,-0.014831733,0.0062,0.0207,0.0255
193403,-0.00112978,-3.190220569,-3.16787327,0.802512212,0.015205388,-0.022347299,0.0024,0.0213,0.0283
193404,-0.027472288,-3.161066996,-3.131287017,0.801074734,0.012335959,-0.029779978,0.0015,0.0194,0.0285
193405,-0.08488756,-3.074284591,-3.037595393,0.856382979,0.013483053,-0.036689198,0.0016,0.0204,0.0276
193406,0.020473058,-3.09308327,-3.049120147,0.84073107,0.011833825,-0.043963123,0.0015,0.0213,0.0274
